,Unnamed: 0,index,text,class
4957,4957,10170,"I despise clich&#233;s... you aint original bitch, you are a copy. #deleted",1
4958,4958,21180,Stop spoiling U fags,1
4959,4959,21993,This bitch lying to me &#128514;&#128530;,1
4960,4960,14110,RT @AdamSchein: I think it is flat out wrong to blame Brian Cashman for the 2014 Yankees. @SNYtv,2
4961,4961,3925,@LilReese300 what are you doing up right now Tavares. Kickin my bitch to curb for being too dramatic again?,1
4962,4962,20811,Shoutout that real bitch,1
4963,4963,2785,@Carxlito PS3 and case is still in the trash can. idgaf anymore,2
4964,4964,10403,I grew up ina jungle wit the gorilla snakes &amp; bird ass niggas &#128018;&#128013;&#128038;,1
4965,4965,5682,"@calissstaaa cause you're a damn border bunny, you forget already?",1
4966,4966,12737,Man it's some bad built bitches in San Antonio.....&amp; if u can't wear a thong on the beach yo ass bet not retweet this,1
4967,4967,24404,"seriously these animal crackers have a slight fruit loops aftertaste. its really fucked up, it should not be this way but it is.",1
4968,4968,13118,"My niggas bigger then the bouncer, roll up in the bitch still smell like an ounce",1
4969,4969,18373,RT @__Harveyyy: People getting called all types of bitches over music lol you know how ridiculous that is?,1
4970,4970,5083,@VRTWxrk_Flash @yungchipotle young based god in Olympics stay fuckin bitches,1
4971,4971,17713,"RT @TheRealIceTre: bae: ""come over""

me: ""i'm tryna catch a pokemon""

bae: ""i'm horny tho""

me: ""bitch it's a fucking mewtwo""",1
4972,4972,9954,"Humble personality, not a hoe. RT @LoveMeDarlingg: 21. Best non-physical feature the opposite sex can have?",1
4973,4973,4266,"@Nick_504_ @drewbrees nigga I still pull tho, and fuck you bitch u stfu",1
4974,4974,24608,trash both ways lol RT @AgdaCoroner: Bitch Killed Herself....Look Like Bill Maher With Makeup on http://t.co/IWLAG2J5Sl,1
4975,4975,19918,"RT @rickygervais: Have a great day, you lovely fellow apes :) http://t.co/jZL7filv0q",2
4976,4976,12369,Let's Go LA #support my niccas no matter what,1
4977,4977,12755,Mane if dis nicca call me 1 mo time n say he Finna pull up but dnt pull up,1
4978,4978,11620,"If you are descended from anything less than European nobility and/or royalty, then you are non-titled common gutter trash.",2
4979,4979,8980,Every half-breed cop in America is trying to rape white women.,1
4980,4980,12168,Just straight ignorant bitches #WhereTheyHeadsAt,1
4981,4981,1257,&#8220;@FriendlyAssh0le: how bitches be looking the first day of school. http://t.co/OpSkH1xZGb&#8221;&#128514;,1
4982,4982,13182,Nah Mimi a bitch,1
4983,4983,18856,RT @davegetnmoney: I beat the pussy up up up up up...,1
4984,4984,3777,@KebinBlodgett bitch your yuck,1
4985,4985,21215,Subtweettweettweettweet cuz skinny niggah but my dick long,1
4986,4986,13313,"Niggas are so fucking gay... And they try to cancel it out by saying ""nah were bros it's cool"" nahhhhhaahahahaha you a faggot bruh",0
4987,4987,13012,My dad goes son of a bitch and just lights a cigarette in the kitchen... Oh&#128514;&#128514;&#128514;&#128514;,1
4988,4988,20670,Seeing ugly bitches get pregnant let's me know that nigga swill fuck anything with a pussy. Alcohol is no longer the excuse. You was pressed,0
4989,4989,24518,the mom acts like a bitch doe like ok ur losing ur memory but don't be a cunt to ur daughter,1
4990,4990,24486,teeth can make or break a person. you could be a 10 and have yellow teeth and immediately drop to a 2.,2
4991,4991,3596,@JadeGreenleaf fag,0
4992,4992,21267,TWITTER IS JUST LIKE REAL LIFE...filled with pussies.,1
4993,4993,4499,@RealNiggaSherm wen he ho dwn da road,1
4994,4994,829,#creamteam leaving hoes w #cockbreath,1
4995,4995,23831,from conversation at that... &#8220;@Blakcocaine_ These hoes be falling too easy. &#128554;&#8221;,1
4996,4996,23187,Yo bitch wanna fuck the squad,1
4997,4997,21819,These infected ass hoes think its okay to talk to other ppl boyfriend. Like that's not funny nor cute to pussy hop all over the place,1
4998,4998,6101,"@hotzgeor Kept the border open to disease from Central America, lowest workforce part. % since Carter, yep, a real boon to NC.@ThomTillis",2
4999,4999,17153,RT @SAVx: A day later and y'all still gassing Rihanna trash ass nudes.,1
5000,5000,14640,RT @Chaantellie: Beyonc&#233; seems like a bitch,1
5001,5001,3623,@JawShoeeAhhh bitch answer me lol,1
5002,5002,3088,"@DutchBrosPlease you're welcome, I miss you too nig nog",1
5003,5003,14332,RT @BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy,1
5004,5004,17444,RT @SteveStfler: future bae best drink fiji water so her pussy taste like retweets &amp; cinammon apples,1
5005,5005,6802,@onedirectum fugly white bitch,1
5006,5006,3289,@GorgeousCamry_ ight bitch ima see u,1
5007,5007,4116,@MikeyDJaro haha 1. I would go for the S 2. Those fag colors are reserved for @JoeyTaormina,1
5008,5008,12063,Jihadi streams: British #ISIS fighter identified as Abu Abdurahman Al Britani killed in action. http://t.co/Ksowd8rRCk,2
5009,5009,19535,RT @lildurk_: S/o all my real fans who can wait and not want me to put out trash like other rappers #signedtothestreets2 #iGO,2
5010,5010,4987,@TheoMaxximus @ZoeBarton3 fuck up pussy,1
